source,metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm_236,significant_236,n_queries,n_replicates,seed
corrected_ndcg,ndcg_at_10,electronics,quissly_vs_luigisbox,0.759951,0.501095,0.258856,0.205945,0.310819,0.000000,0.000000,True,178,10000,42
corrected_ndcg,ndcg_at_10,fast_fashion,quissly_vs_luigisbox,0.693549,0.443954,0.249596,0.192532,0.308086,0.000000,0.000000,True,174,10000,42
corrected_ndcg,ndcg_at_10,furniture,quissly_vs_luigisbox,0.768606,0.554704,0.213901,0.167269,0.261422,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_10,marketplace,quissly_vs_luigisbox,0.671329,0.417006,0.254323,0.197414,0.312940,0.000000,0.000000,True,154,10000,42
corrected_ndcg,ndcg_at_10,pharmacy,quissly_vs_luigisbox,0.667528,0.423409,0.244119,0.169254,0.317934,0.000000,0.000000,True,172,10000,42
corrected_ndcg,ndcg_at_10,pooled,quissly_vs_luigisbox,0.737846,0.508136,0.229709,0.209016,0.250877,0.000000,0.000000,True,1212,10000,42
corrected_ndcg,ndcg_at_20,auto,quissly_vs_algolia,0.827417,0.513552,0.313865,0.260405,0.366354,0.000000,0.000000,True,180,10000,42
corrected_ndcg,ndcg_at_20,cosmetics,quissly_vs_algolia,0.813753,0.519635,0.294119,0.244024,0.346359,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_20,electronics,quissly_vs_algolia,0.794923,0.460020,0.334902,0.283557,0.387307,0.000000,0.000000,True,178,10000,42
corrected_ndcg,ndcg_at_20,fast_fashion,quissly_vs_algolia,0.741745,0.390158,0.351587,0.289230,0.413993,0.000000,0.000000,True,174,10000,42
corrected_ndcg,ndcg_at_20,furniture,quissly_vs_algolia,0.811993,0.474298,0.337695,0.289580,0.385176,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_20,marketplace,quissly_vs_algolia,0.700387,0.334219,0.366168,0.307748,0.425707,0.000000,0.000000,True,154,10000,42
corrected_ndcg,ndcg_at_20,pharmacy,quissly_vs_algolia,0.706242,0.353692,0.352550,0.285488,0.419174,0.000000,0.000000,True,172,10000,42
corrected_ndcg,ndcg_at_20,pooled,quissly_vs_algolia,0.772760,0.437658,0.335102,0.314123,0.356248,0.000000,0.000000,True,1212,10000,42
corrected_ndcg,ndcg_at_20,auto,quissly_vs_clerk,0.827417,0.590815,0.236601,0.187525,0.287922,0.000000,0.000000,True,180,10000,42
corrected_ndcg,ndcg_at_20,cosmetics,quissly_vs_clerk,0.813753,0.575387,0.238366,0.195884,0.280904,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_20,electronics,quissly_vs_clerk,0.794923,0.492397,0.302526,0.254532,0.353186,0.000000,0.000000,True,178,10000,42
corrected_ndcg,ndcg_at_20,fast_fashion,quissly_vs_clerk,0.741745,0.429992,0.311754,0.251098,0.372146,0.000000,0.000000,True,174,10000,42
corrected_ndcg,ndcg_at_20,furniture,quissly_vs_clerk,0.811993,0.529523,0.282470,0.237123,0.328854,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_20,marketplace,quissly_vs_clerk,0.700387,0.390962,0.309424,0.244010,0.375433,0.000000,0.000000,True,154,10000,42
corrected_ndcg,ndcg_at_20,pharmacy,quissly_vs_clerk,0.706242,0.417847,0.288395,0.214612,0.363683,0.000000,0.000000,True,172,10000,42
corrected_ndcg,ndcg_at_20,pooled,quissly_vs_clerk,0.772760,0.492128,0.280632,0.259140,0.302069,0.000000,0.000000,True,1212,10000,42
corrected_ndcg,ndcg_at_20,auto,quissly_vs_doofinder,0.827417,0.609145,0.218272,0.174344,0.262004,0.000000,0.000000,True,180,10000,42
corrected_ndcg,ndcg_at_20,cosmetics,quissly_vs_doofinder,0.813753,0.647422,0.166332,0.129867,0.203611,0.000000,0.000000,True,177,10000,42
corrected_ndcg,ndcg_at_20,electronics,quissly_vs_doofinder,0.794923,0.523737,0.271185,0.225205,0.316531,0.000000,0.000000,True,178,10000,42
corrected_ndcg,ndcg_at_20,fast_fashion,quissly_vs_doofinder,0.741745,0.495584,0.246162,0.183774,0.307821,0.000000,0.000000,True,174,10000,42
corrected_ndcg,ndcg_at_20,furniture,quissly_vs_doofinder,0.811993,0.582152,0.229841,0.188604,0.271177,0.000000,0.000000,True,177,10000,42
